algorithm,length,ticks_per_second,total_ticks,robots,arena_size,seed,arena_type,maze_width,maze_height,scatter_size,scatter_density,num_agents,reached_count,reached_ratio,mean_time_sec,fastest_time_sec,slowest_time_sec,total_distance,obstacles_count,run_id
projet,1,2,2,9,10.0,751,scatter,10,10,1.4843355121339317,0.3778059397249248,9,0,0.0,0,0,0,0.177942591603503,16,17
pso,1,2,2,7,10.0,24196,scatter,10,10,1.0072915797625013,0.2667679784317195,7,0,0.0,0,0,0,0.09308472079171899,29,300
coverage,1,2,2,6,10.0,47592,scatter,10,10,1.0391244618059168,0.10403482104391688,6,0,0.0,0,0,0,0.19402617524836968,14,354
projet,1,2,2,2,10.0,97791,scatter,10,10,0.9343798206301244,0.48921815514104544,2,0,0.0,0,0,0,0.01350019422046031,34,306
coverage,1,2,2,6,10.0,34990,scatter,10,10,0.8290591112078115,0.6546692118954036,6,0,0.0,0,0,0,0.15632808658268907,43,495
aco,1,2,2,6,10.0,38283,scatter,10,10,0.6576162219218272,0.0674052959525461,6,0,0.0,0,0,0,0.2837677669026234,20,482
projet,1,2,2,6,10.0,6192,scatter,10,10,0.9410439466235732,0.38491976902842434,6,0,0.0,0,0,0,0.06355157851255919,35,400
projet,1,2,2,2,10.0,28809,scatter,10,10,0.18180297084770744,0.00047517997596373685,2,0,0.0,0,0,0,0.013500127311511793,5,79
projet,1,2,2,10,10.0,60277,scatter,10,10,1.8825515511325654,0.0019144279187578526,10,0,0.0,0,0,0,0.18901592115634291,4,192
pso,1,2,2,9,10.0,95210,scatter,10,10,1.387017100928255,0.34387281518793994,9,0,0.0,0,0,0,0.12289050630185556,17,185
flood_fill,1,2,2,1,10.0,51964,scatter,10,10,1.9978181222053666,0.011640030960589597,1,0,0.0,0,0,0,0.022560244347081065,4,356
flood_fill,1,2,2,10,10.0,77056,scatter,10,10,1.3131973884878745,0.46689088732659945,10,0,0.0,0,0,0,0.6440103769180701,18,425
pso,1,2,2,7,10.0,77261,scatter,10,10,1.175788495257279,0.7694162000875954,7,0,0.0,0,0,0,0.0954811352784303,22,137
coverage,1,2,2,9,10.0,52633,scatter,10,10,0.20739457794001875,0.029409575463565672,9,0,0.0,0,0,0,0.4704531023475969,72,230
pso,1,2,2,7,10.0,71737,scatter,10,10,0.6164574342449977,0.0013947363587109116,7,0,0.0,0,0,0,0.11955739703822853,4,231
projet,1,2,2,3,10.0,95815,scatter,10,10,0.5523133011748795,0.64568622500295,3,0,0.0,0,0,0,0.055658401927476064,99,361
pso,1,2,2,10,10.0,60457,scatter,10,10,1.1233689989727271,0.6914590542427359,10,0,0.0,0,0,0,0.12711373777918988,26,83
projet,1,2,2,8,10.0,48615,scatter,10,10,0.21023323050551757,0.24293635958876778,8,0,0.0,0,0,0,0.1307933305705517,554,287
projet,1,2,2,4,10.0,9540,scatter,10,10,1.8710295892147217,0.28643240937726633,4,0,0.0,0,0,0,0.04160264727374738,10,401
